,Company,name,Year,Number of Records Affected,Organization Type,Reasons for Breach,Reference Link(s),domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,country_code,latitude,longitude
10,Air Canada,air canada,2018,20000.0,['transport'],['hacked'],[['https://globalnews.ca/news/4415993/air-canada-mobile-app-data-breach/']],aircanada.com,1937.0,airlines/aviation,10001+,"montréal, quebec, canada",canada,linkedin.com/company/air-canada,8404.0,14547.0,CA,2228.46.00,-5885.31.00
11,TD Ameritrade,td ameritrade,2005,200000.0,['financial'],['lost / stolen'],[['http://www.nbcnews.com/id/7561268/ns/technology_and_science-security/t/ameritrade-warns-clients-lost-data/']],tdameritrade.com,1975.0,financial services,5001 - 10000,"omaha, nebraska, united states",united states,linkedin.com/company/td-ameritrade,4840.0,10585.0,US,187.24.00,-11976.31.00
12,Ancestry.com,ancestry.com uk limited,2021,300000.0,['web'],['poor security'],[['https://blogs.ancestry.com/ancestry/2017/12/23/rootsweb-security-update/']],0,0.0,internet,1 - 10,"london, greater london, united kingdom",united kingdom,linkedin.com/company/ancestry-com-uk-limited,0.0,2.0,GB,6355.51.00,-7269.13.00
13,Animal Jam,wildworks,2020,46000000.0,['gaming'],['hacked'],"[['https://techcrunch.com/2020/11/16/animal-jam-data-breach/'], ['https://www.manageengine.com/ems/cyber-town/animal-jam-data-breach-threatens-privacy-of-children.html']]",wildworks.com,2003.0,computer games,51 - 200,"salt lake city, utah, united states",united states,linkedin.com/company/smart-bomb-interactive,79.0,189.0,US,187.24.00,-11976.31.00
14,"Ankle & Foot Center of Tampa Bay, Inc.",ankle & foot center of tampa bay pa,2021,156000.0,['healthcare'],['hacked'],[['http://www.phiprivacy.net/?p=5743']],ankleandfootcenter.com,0.0,medical practice,1 - 10,"tampa, florida, united states",united states,linkedin.com/company/ankle-&-foot-center-of-tampa-bay-pa,2.0,3.0,US,187.24.00,-11976.31.00
15,Anthem Inc.,wellpoint anthem,2015,80000000.0,['healthcare'],['hacked'],"[['https://web.archive.org/web/20170211220237/https://www.anthemfacts.com/faq', 'http://www.anthemfacts.com/faq'], ['http://www.databreach-settlement.com/'], ['http://krebsonsecurity.com/2015/02/data-breach-at-health-insurer-anthem-could-impact-millions/']]",wavelengthforhair.com.au,0.0,insurance,1001 - 5000,"indianapolis, indiana, united states",united states,linkedin.com/company/wellpoint-anthem,815.0,2315.0,US,187.24.00,-11976.31.00
16,AOL,aol,2004,92000000.0,['web'],['inside job'],"[['https://money.cnn.com/2004/06/23/technology/aol_spam/'], ['https://www.nbcnews.com/id/8985989']]",aol.com,1985.0,internet,5001 - 10000,"new york, new york, united states",united states,linkedin.com/company/aol,2616.0,21458.0,US,187.24.00,-11976.31.00
17,AOL,aol,2006,20000000.0,['web'],['accidental'],[['https://techcrunch.com/2006/08/06/aol-proudly-releases-massive-amounts-of-user-search-data/']],aol.com,1985.0,internet,5001 - 10000,"new york, new york, united states",united states,linkedin.com/company/aol,2616.0,21458.0,US,187.24.00,-11976.31.00
18,AOL,aol,2014,2400000.0,['web'],['hacked'],[['http://blog.aol.com/2014/04/28/aol-security-update/']],aol.com,1985.0,internet,5001 - 10000,"new york, new york, united states",united states,linkedin.com/company/aol,2616.0,21458.0,US,187.24.00,-11976.31.00
19,"Apple, Inc./BlueToad",apple,2021,12367232.0,['tech'],['accidental'],[['https://www.cnet.com/news/udid-leak-source-idd-bluetoad-mobile-firm-says-it-was-hacked/']],apple.com,1976.0,consumer electronics,10001+,"cupertino, california, united states",united states,linkedin.com/company/apple,90095.0,179531.0,US,187.24.00,-11976.31.00
20,Apple,apple,2013,275000.0,['tech'],['hacked'],[['https://www.theguardian.com/technology/2013/jul/22/apple-developer-site-hacked']],apple.com,1976.0,consumer electronics,10001+,"cupertino, california, united states",united states,linkedin.com/company/apple,90095.0,179531.0,US,187.24.00,-11976.31.00
21,Apple Health Medicaid,apple health and wellness,2021,91000.0,['healthcare'],['poor security'],[['http://www.seattletimes.com/seattle-news/health/91000-state-medicaid-clients-warned-of-data-breach/']],applehealthwellness.com,1986.0,"health, wellness and fitness",11 - 50,"knoxville, tennessee, united states",united states,linkedin.com/company/apple-health-and-wellness,13.0,19.0,US,187.24.00,-11976.31.00
22,Ashley Madison,ashley madison,2015,32000000.0,['web'],['hacked'],"[['https://www.wired.com/2015/08/happened-hackers-posted-stolen-ashley-madison-data/'], ['http://krebsonsecurity.com/2015/07/online-cheating-site-ashleymadison-hacked/']]",ashleymadison.com,2001.0,internet,11 - 50,"toronto, ontario, canada",canada,linkedin.com/company/avid-life-media-ashley-madison,9.0,29.0,CA,2228.46.00,-5885.31.00
23,AT&T,at&t,2008,113000.0,['telecoms'],['lost / stolen'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],att.com,1876.0,telecommunications,10001+,"dallas, texas, united states",united states,linkedin.com/company/at&t,115188.0,269659.0,US,187.24.00,-11976.31.00
24,AT&T,at&t,2010,114000.0,['telecoms'],['hacked'],[['https://www.theguardian.com/technology/2010/jun/10/apple-ipad-security-leak?INTCMP=SRCH']],att.com,1876.0,telecommunications,10001+,"dallas, texas, united states",united states,linkedin.com/company/at&t,115188.0,269659.0,US,187.24.00,-11976.31.00
25,AT&T,at&t,2021,72000000.0,['telecoms'],['unknown'],[['https://www.troyhunt.com/inside-the-massive-alleged-att-data-breach/']],att.com,1876.0,telecommunications,10001+,"dallas, texas, united states",united states,linkedin.com/company/at&t,115188.0,269659.0,US,187.24.00,-11976.31.00
26,Auction.co.kr,auction co.,2008,18000000.0,['web'],['hacked'],[['https://www.koreatimes.co.kr/www/news/biz/2010/03/123_63121.html']],auctiontoday.co,2011.0,machinery,1 - 10,0,south korea,linkedin.com/company/auction-today,1.0,1.0,KR,15164.17.00,12909.02.00
27,Automatic Data Processing,automatic data processing limited,2005,125000.0,['financial'],['poor security'],[['https://abcnews.go.com/Technology/story?id=2160425&page=1#.UFcROxgUwaA']],0,0.0,human resources,1 - 10,"roseland, new jersey, united states",united states,linkedin.com/company/automatic-data-processing-limited,1.0,2.0,US,187.24.00,-11976.31.00
28,"AvMed, Inc.",avmed health insurance co.,2009,1220000.0,['healthcare'],['lost / stolen'],[['http://www.winston.com/en/privacy-law-corner/3m-data-breach-settlement-approved-for-avmed-customers.html']],0,0.0,insurance,1 - 10,"florida, new york, united states",united states,linkedin.com/company/avmed-health-insurance-co-,5.0,10.0,US,187.24.00,-11976.31.00
29,Bailey's Inc.,bailey's,2015,250000.0,['retail'],['hacked'],[['http://www.scmagazine.com/attacker-compromises-information-of-250k-in-baileys-data-breach/article/483630/']],baileyscss.com,0.0,oil & energy,11 - 50,"lafayette, louisiana, united states",united states,linkedin.com/company/bailey's,19.0,25.0,US,187.24.00,-11976.31.00
30,The Bank of New York Mellon,the bank of new york mellon,2008,12500000.0,['financial'],['lost / stolen'],"[['https://web.archive.org/web/20160308134258/http://www.wctv.tv/news/headlines/28132494.html?storySection=comments', 'http://www.wctv.tv/news/headlines/28132494.html?storySection=comments']]",0,0.0,banking,501 - 1000,"new york, new york, united states",united states,linkedin.com/company/the-pembrook-group-llc,272.0,724.0,US,187.24.00,-11976.31.00
31,Bangladesh Government website data breach,bangladesh government website data breach,2023,50000000.0,['government'],['poor security'],[['https://www.tbsnews.net/bangladesh/millions-bangladeshi-citizens-data-exposed-online-661958']],0,0.0,0,0,0,bangladesh,0,0.0,0.0,BD,11439.34.00,6028.51.00
32,Bank of America,bank of america,2005,1200000.0,['financial'],['lost / stolen'],[['https://www.nbcnews.com/id/7032779/ns/technology_and_science-security/t/bank-america-loses-customer-data/#.WHPYpVMrJUQ']],bankofamerica.com,1968.0,banking,10001+,"charlotte, north carolina, united states",united states,linkedin.com/company/bank-of-america,97357.0,279769.0,US,187.24.00,-11976.31.00
33,Bell Canada,bell canada,2017,1900000.0,['telecoms'],['poor security'],[['https://www.theglobeandmail.com/report-on-business/bell-apologizes-to-customers-after-data-breach-hits-19-million-e-mail-addresses/article35004027/']],0,0.0,telecommunications,201 - 500,"Montréal, Canada",canada,linkedin.com/company/bell-ict-outsourcing-solutions,71.0,338.0,CA,2228.46.00,-5885.31.00
34,Bell Canada,bell canada,2018,100000.0,['telecoms'],['hacked'],[['https://www.cbc.ca/news/business/bell-canada-data-breach-1.4500156']],0,0.0,telecommunications,201 - 500,"Montréal, Canada",canada,linkedin.com/company/bell-ict-outsourcing-solutions,71.0,338.0,CA,2228.46.00,-5885.31.00
35,Benesse,benesse corporation,2014,35040000.0,['educational'],['hacked'],[['https://ja.wikipedia.org/wiki/%E3%83%99%E3%83%8D%E3%83%83%E3%82%BB%E5%80%8B%E4%BA%BA%E6%83%85%E5%A0%B1%E6%B5%81%E5%87%BA%E4%BA%8B%E4%BB%B6']],benesse.co.jp,1955.0,education management,201 - 500,"Okayama, Japan",japan,linkedin.com/company/benesse-corporation,162.0,324.0,JP,3449.44.00,4353.24.00
36,Betfair,betfair,2010,2300000.0,['web'],['hacked'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],betfair.com,1999.0,internet,501 - 1000,"london, england, united kingdom",united kingdom,linkedin.com/company/betfair,462.0,3523.0,GB,6355.51.00,-7269.13.00
37,Bethesda Game Studios,bethesda game studios,2011,200000.0,['gaming'],['hacked'],[['http://www.pcworld.com/article/231215/lulzsec_a_short_history_of_hacking.html']],0,0.0,computer games,201 - 500,"baltimore, maryland, united states",united states,linkedin.com/company/bethesda-game-studios,102.0,119.0,US,187.24.00,-11976.31.00
38,Blank Media Games,town of salem,2018,7633234.0,['gaming'],['hacked'],"[['https://blog.dehashed.com/town-of-salem-blankmediagames-hacked/'], ['https://www.forbes.com/sites/daveywinder/2019/01/03/town-of-salem-hacked-leaving-more-than-7-6m-with-compromised-data/#66a625f730d3']]",townofsalemnh.org,0.0,primary/secondary education,1 - 10,"salem, new hampshire, united states",united states,linkedin.com/company/town-of-salem,5.0,14.0,US,187.24.00,-11976.31.00
39,Blizzard Entertainment,blizzard entertainment,2012,14000000.0,['gaming'],['hacked'],"[['http://us.blizzard.com/en-us/securityupdate.html'], ['http://www.darkreading.com/attacks-and-breaches/blizzard-battlenet-security-breached-passwords-accessed/d/d-id/1105740?']]",blizzard.com,1991.0,computer games,5001 - 10000,"irvine, california, united states",united states,linkedin.com/company/blizzard-entertainment,3113.0,6516.0,US,187.24.00,-11976.31.00
40,BlueCross BlueShield of Tennessee,bluecross blueshield of tennessee,2009,1023209.0,['healthcare'],['lost / stolen'],[['http://www.scmagazine.com/thief-steals-57-hard-drives-from-bluecross-blueshield-of-tennessee/article/162178/']],bcbst.com,1945.0,insurance,1001 - 5000,"chattanooga, tennessee, united states",united states,linkedin.com/company/blue-cross-blue-shield-of-tennessee,2087.0,3652.0,US,187.24.00,-11976.31.00
41,BMO and Simplii,simplii,2018,90000.0,['financial'],['poor security'],[['http://www.cbc.ca/news/business/bank-hack-tuesday-1.4682018']],simplii.net,0.0,telecommunications,11 - 50,"south jordan, utah, united states",united states,linkedin.com/company/simplii,16.0,23.0,US,187.24.00,-11976.31.00
42,2018 British Airways cyberattack,british airways,2018,500000.0,['transport'],['hacked'],"[['https://www.britishairways.com/en-us/information/incident/data-theft/latest-information'], ['https://www.reuters.com/article/us-iag-cybercrime-british-airways/ba-apologizes-after-380000-customers-hit-in-cyber-attack-idUSKCN1LM2P6'], ['https://www.bbc.com/news/business-48905907'], ['https://www.britishairways.com/en-us/information/incident/data-theft/latest-information'], ['https://www.reuters.com/article/us-iag-cybercrime-british-airways/ba-apologizes-after-380000-customers-hit-in-cyber-attack-idUSKCN1LM2P6']]",ba.com,1919.0,airlines/aviation,10001+,"hayes, hillingdon, united kingdom",united kingdom,linkedin.com/company/british-airways,13648.0,30815.0,GB,6355.51.00,-7269.13.00
43,California Department of Child Support Services,california department of child support services,2012,800000.0,['government'],['lost / stolen'],"[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml'], ['https://www.businessinsider.com/california-child-support-data-breach-2012-4?r=US&IR=T']]",0,1999.0,government administration,51 - 200,"rancho cordova, california, united states",united states,linkedin.com/company/california-department-of-child-support-services,48.0,79.0,US,187.24.00,-11976.31.00
44,Canva,canva,2019,140000000.0,['web'],['hacked'],"[['https://www.cisomag.com/nearly-140-million-user-data-leaked-in-canva-hack/'], ['https://www.hackread.com/online-graphic-design-tool-canva-hacked/'], ['http://www.crn.com.au/news/canva-hacked---user-details-accessed-but-passwords-safe-525716'], ['https://www.zdnet.com/article/australian-tech-unicorn-canva-suffers-security-breach/'], ['https://www.tomsguide.com/us/canva-data-breach,news-30165.html']]",canva.com,2012.0,computer software,201 - 500,"sydney, new south wales, australia",australia,linkedin.com/company/canva,249.0,308.0,AU,-4598.18.00,13051.56.00
45,Capcom,capcom,2020,350000.0,['gaming'],['hacked'],[['https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E6%83%85%E5%A0%B1%E6%BC%8F%E6%B4%A9#主な個人情報漏洩事件#2016年']],capcom.com,1979.0,computer games,501 - 1000,"san mateo, california, united states",united states,linkedin.com/company/capcom,273.0,822.0,US,187.24.00,-11976.31.00
46,Capital One,capital one,2019,106000000.0,['financial'],['misconfig'],"[['https://www.cnn.com/2019/07/29/business/capital-one-data-breach/index.html'], ['https://www.capitalone.com/facts2019/'], ['https://dx.doi.org/10.2139/ssrn.3542567', 'https://doi.org/10.2139%2Fssrn.3542567', 'https://www.worldcat.org/issn/1556-5068']]",capitalone.com,1994.0,financial services,10001+,"mclean, virginia, united states",united states,linkedin.com/company/capital-one,27522.0,62144.0,US,187.24.00,-11976.31.00
47,"CardSystems Solutions Inc.
(MasterCard, Visa, Discover Financial Services and American Express)",cardsystems,2005,40000000.0,['financial'],['hacked'],"[['https://www.nbcnews.com/id/8260050'], ['https://www.cnet.com/news/credit-card-breach-exposes-40-million-accounts/']]",cardsys.co.uk,2009.0,information technology and services,1 - 10,"trier, rheinland-pfalz, germany",germany,linkedin.com/company/cardsystems,0.0,2.0,DE,2812.31.00,7535.26.00
48,Cathay Pacific Airways,cathay pacific airways,2018,9400000.0,['transport'],['hacked'],[['https://www.straitstimes.com/asia/east-asia/cathay-pacific-flags-data-breach-affecting-94-million-passengers']],cathaypacific.com,0.0,airlines/aviation,10001+,"pleasanton, california, united states",united states,linkedin.com/company/cathay-pacific-airways,5178.0,10255.0,US,187.24.00,-11976.31.00
49,CareFirst BlueCross Blue Shield - Maryland,carefirst bluecross blueshield,2015,1100000.0,['healthcare'],['hacked'],[['http://www.baltimoresun.com/health/bs-bz-carefirst-data-breach-20150520-story.html']],carefirst.com,0.0,insurance,5001 - 10000,"owings mills, maryland, united states",united states,linkedin.com/company/carefirst-bluecross-blueshield,2841.0,5285.0,US,187.24.00,-11976.31.00
50,Central Coast Credit Union,central coast federal credit union,2016,60000.0,['financial'],['hacked'],[['http://krebsonsecurity.com/2016/02/breached-credit-union-comes-out-of-its-shell/']],centcoastfcu.com,0.0,banking,11 - 50,0,united states,linkedin.com/company/central-coast-federal-credit-union,12.0,23.0,US,187.24.00,-11976.31.00
51,Central Hudson Gas & Electric,central hudson gas & electric,2013,110000.0,['energy'],['hacked'],[['http://www.privacyrights.org/data-breach']],0,1900.0,utilities,51 - 200,"poughkeepsie, new york, united states",united states,linkedin.com/company/central-hudson-gas-&-electric,76.0,96.0,US,187.24.00,-11976.31.00
52,CheckFree Corporation,checkfree corporation,2009,5000000.0,['financial'],['hacked'],[['http://www.computerworld.com/s/article/9125078/CheckFree_warns_5_million_customers_after_hack']],checkfreecorp.com,0.0,information technology and services,1 - 10,"boston, massachusetts, united states",united states,linkedin.com/company/checkfree-norcross,0.0,10.0,US,187.24.00,-11976.31.00
53,Central Intelligence Agency,central intelligence agency,2017,91.0,['government'],['inside job'],"[['https://www.newyorker.com/magazine/2022/06/13/the-surreal-case-of-a-cia-hackers-revenge/'], ['https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html'], ['https://www.wired.com/2017/03/cia-can-hack-phone-pc-tv-says-wikileaks/'], ['http://www.computing.co.uk/ctg/news/3006021/vault-7-wikileaks-reveals-details-of-cias-hacks-of-android-iphone-windows-linux-macos-and-even-samsung-tvs'], ['https://www.newsweek.com/who-joshua-adam-schulte-former-cia-employee-charged-over-vault-7-leak-982899']]",cia.gov,1947.0,international affairs,1001 - 5000,"washington, district of columbia, united states",united states,linkedin.com/company/central-intelligence-agency,514.0,2430.0,US,187.24.00,-11976.31.00
54,CGI Group,"cgi group, llc",2007,283000.0,['construction'],['unknown'],[['http://www.privacyrights.org/data-breach']],cgigroupllc.com,0.0,construction,1 - 10,"roswell, georgia, united states",united states,linkedin.com/company/cgi-group-llc,2.0,4.0,US,187.24.00,-11976.31.00
55,CheckPeople,checkpeople,2020,56000000.0,['web'],['unknown'],[['https://www.theregister.co.uk/2020/01/09/checkpeoplecom_data_exposed/']],0,0.0,0,0,0,united states,0,0.0,0.0,US,187.24.00,-11976.31.00
56,China Software Developer Network,csdn,2011,6000000.0,['web'],['hacked'],[['https://www.zdnet.com/blog/security/chinese-hacker-arrested-for-leaking-6-million-logins/11064']],csdn.net,1999.0,internet,201 - 500,"peking, beijing, china",china,linkedin.com/company/csdn,121.0,231.0,CN,1471.06.00,3360.37.00
57,"Chinese gaming websites (three: Duowan, 7K7K, 178.com)",7k7k.com,2011,10000000.0,['web'],['hacked'],[['http://www.ehackingnews.com/2011/12/hackers-compromised-38-million-chinese.html']],7k7k.com,0.0,computer games,11 - 50,"peking, beijing, china",china,linkedin.com/company/7k7k-com,4.0,11.0,CN,1471.06.00,3360.37.00
58,Citigroup,citigroup,2005,3900000.0,['financial'],['lost / stolen'],[['https://www.nytimes.com/2005/06/07/business/07data.html']],0,0.0,financial services,1001 - 5000,"New York, New York, United States",united states,linkedin.com/company/citigroup,587.0,1617.0,US,187.24.00,-11976.31.00
59,Citigroup,citigroup,2011,360083.0,['financial'],['hacked'],"[['http://www.pcworld.com/article/229891/Citigroup_Hack_Nets_Over_200k_in_Stolen_Customer_Details.html'], ['https://www.forbes.com/sites/andygreenberg/2011/06/09/citibank-reveals-one-percent-of-all-accounts-exposed-in-hack/']]",0,0.0,financial services,1001 - 5000,"New York, New York, United States",united states,linkedin.com/company/citigroup,587.0,1617.0,US,187.24.00,-11976.31.00
60,Citigroup,citigroup,2013,150000.0,['financial'],['poor security'],[['http://news.softpedia.com/news/Citi-Exposes-Details-of-150-000-Individuals-Who-Went-into-Bankruptcy-369979.shtml']],0,0.0,financial services,1001 - 5000,"New York, New York, United States",united states,linkedin.com/company/citigroup,587.0,1617.0,US,187.24.00,-11976.31.00
61,City and Hackney Teaching Primary Care Trust,city and hackney mind,2007,160000.0,['healthcare'],['lost / stolen'],[['http://www.computerweekly.com/news//Hackney-NHS-trust-encrypts-IT-equipment-following-loss-of-child-data']],cityandhackneymind.org.uk,1981.0,mental health care,51 - 200,0,united kingdom,linkedin.com/company/city-and-hackney-mind,23.0,89.0,GB,6355.51.00,-7269.13.00
62,Collection No. 1,collection no. 1,2019,773000000.0,['various'],['multiple data breaches'],[['https://www.malwarebytes.com/blog/news/2019/01/collection-1-data-breach-what-you-need-to-know']],0,0.0,0,0,0,dark web,0,0.0,0.0,0,0.0,0.0
63,Colorado state government,colorado state government,2010,105470.0,['healthcare'],['lost / stolen'],[['http://www.databreaches.net/rxamerica-and-accendo-insurance-notify-175000-medicare-beneficiaries-that-mailing-error-exposed-their-medication-name-date-of-birth-and-member-id/']],0,0.0,research,1 - 10,"montrose, colorado, united states",united states,linkedin.com/company/colorado-state-government,5.0,17.0,US,187.24.00,-11976.31.00
64,Community Health Systems,community health systems,2014,4500000.0,['healthcare'],['hacked'],[['https://money.cnn.com/2014/08/18/technology/security/hospital-chs-hack/']],chs.net,1985.0,hospital & health care,5001 - 10000,"franklin, tennessee, united states",united states,linkedin.com/company/community-health-systems,4802.0,9446.0,US,187.24.00,-11976.31.00
65,Philippines Commission on Elections,philippines commission on elections,2016,55000000.0,['government'],['hacked'],[''],0,0.0,0,0,0,philippines,0,0.0,0.0,PH,14674.01.00,13021.17.00
66,Compass Bank,compass bank,2007,1000000.0,['financial'],['inside job'],"[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml'], ['http://www.computerworld.com/s/article/9072198/Programmer_who_stole_drive_containing_1_million_bank_records_gets_42_months']]",morethanwires.com,0.0,banking,51 - 200,0,united states,linkedin.com/company/compass-bank,39.0,621.0,US,187.24.00,-11976.31.00
67,Countrywide Financial Corp,countrywide financial corporation limited,2006,2600000.0,['financial'],['inside job'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],0,0.0,financial services,1 - 10,"Calabasas, California, United States",united states,linkedin.com/company/countrywide-financial-corporation-limited,0.0,13.0,US,187.24.00,-11976.31.00
68,Countrywide Financial Corp,countrywide financial corporation limited,2011,2500000.0,['financial'],['inside job'],[['http://latimesblogs.latimes.com/money_co/2011/09/man-convicted-in-huge-countrywide-data-theft-gets-8-months-in-prison.html']],0,0.0,financial services,1 - 10,"Calabasas, California, United States",united states,linkedin.com/company/countrywide-financial-corporation-limited,0.0,13.0,US,187.24.00,-11976.31.00
69,Centers for Medicare & Medicaid Services,centers for medicare & medicaid services,2018,75000.0,['healthcare'],['hacked'],[['https://www.deccanchronicle.com/technology/in-other-news/201018/us-cms-says-75000-individuals-files-accessed-in-data-breach.html']],cms.gov,1977.0,government administration,1001 - 5000,"baltimore, maryland, united states",united states,linkedin.com/company/centers-for-medicare-&-medicaid-services,1899.0,3441.0,US,187.24.00,-11976.31.00
70,Cox Communications,cox communications,2016,40000.0,['telecoms'],['hacked'],[['http://www.infosecurity-magazine.com/news/cox-communications-investigates/']],cox.com,1984.0,broadcast media,10001+,"atlanta, georgia, united states",united states,linkedin.com/company/cox-communications,8064.0,20692.0,US,187.24.00,-11976.31.00
71,"Crescent Health Inc., Walgreens","crescent health solutions, inc.",2013,100000.0,['healthcare'],['lost / stolen'],"[['http://www.privacyrights.org/data-breach'], ['http://www.healthcareitnews.com/news/walgreens-company-announces-data-breach']]",crescenths.com,0.0,medical practice,1 - 10,"asheville, north carolina, united states",united states,linkedin.com/company/crescent-health-solutions-inc.,1.0,2.0,US,187.24.00,-11976.31.00
72,Cutout.Pro,cutout.pro,2024,19972829.0,['web'],['hacked'],[['https://www.bleepingcomputer.com/news/security/20-million-cutoutpro-user-records-leaked-on-data-breach-forum/']],0,0.0,0,0,0,hong kong,0,0.0,0.0,HK,6629.08.00,1938.57.00
73,CyberServe,cyberserve,2021,1107034.0,['hosting provider'],['hacked'],"[['https://www.haaretz.com/israel-news/tech-news/.premium-anti-israel-hackers-target-web-hosting-company-knock-down-several-israeli-sites-1.10338654'], ['https://haveibeenpwned.com/PwnedWebsites']]",0,0.0,internet,1 - 10,0,israel,linkedin.com/company/cyberserve,3.0,15.0,IL,798.31.00,14227.32.00
74,Dai Nippon Printing,dai nippon printing co.ltd,2007,8637405.0,['retail'],['inside job'],[['http://usatoday30.usatoday.com/tech/news/computersecurity/2007-12-30-data_n.htm']],0,0.0,management consulting,11 - 50,0,japan,linkedin.com/company/dai-nippon-printing-co.ltd,4.0,4.0,JP,3449.44.00,4353.24.00
75,"Data Processors International (MasterCard, Visa, Discover Financial Services and American Express)",data processors,2008,8000000.0,['financial'],['hacked'],[['https://money.cnn.com/2003/02/18/technology/creditcards/']],dataprocessors.com.au,0.0,research,51 - 200,0,other,linkedin.com/company/data-processors,17.0,21.0,0,0.0,0.0
